idx,price,beds,bath,sqft,lot_size,address,lat,long
83,83,688900.0,4.0,2.5,1400.0,,"10834 Macouba Pl, San Diego, CA 92124",32.8230628,-117.0953567
84,84,455000.0,2.0,2.0,951.0,3.08,"6522 College Grove Dr Unit 22, San Diego, CA 92115",32.7428913,-117.0568384
85,85,4995000.0,5.0,5.5,7715.0,0.42,"14133 Rancho Tierra Trl, San Diego, CA 92130",32.9724836,-117.2100571
86,86,775000.0,3.0,2.0,1860.0,6600.0,"6961 Ballinger Ave, San Diego, CA 92119",32.8092063,-117.018973
87,87,1999000.0,3.0,2.0,1912.0,0.25,"3566 Garrison St, San Diego, CA 92106",32.7300304,-117.2347942
88,88,40000.0,,,,2526.0,"Filipo St, San Diego, CA 92115",32.7651252,-117.058122
89,89,520000.0,2.0,2.0,1120.0,2.14,"4545 Collwood Blvd Unit 50, San Diego, CA 92115",32.7606555,-117.080728
90,90,1325000.0,3.0,3.0,2023.0,0.47,"2084 San Diego Ave, San Diego, CA 92110",32.7464796,-117.1887169
91,91,1699000.0,4.0,3.0,2880.0,9540.0,"10319 Pinecastle St, San Diego, CA 92131",32.9078054,-117.0632035
92,92,549000.0,2.0,1.5,1011.0,,"9110 Gramercy Dr Unit 324, San Diego, CA 92123",32.803264,-117.1313828
93,93,639495.0,4.0,3.5,1785.0,,"5480 Shorefront Dr Unit 164, San Diego, CA 92154",32.5668073,-117.0111793
94,94,535000.0,1.0,1.0,644.0,2.87,"6737 Friars Rd Unit 200, San Diego, CA 92108",32.7668374,-117.1731836
95,95,674999.0,4.0,2.0,1164.0,8000.0,"993 Burwood Pl, San Diego, CA 92154",32.5790239,-117.0761214
96,96,1299000.0,10.0,6.5,4440.0,0.97,"317-319 Foothill Rd, San Ysidro, CA 92173",32.5609399,-117.0503125
97,97,4200000.0,5.0,5.5,4982.0,0.42,"12804 Toyon Mesa Ct, San Diego, CA 92130",32.9468649,-117.1789993
98,98,3950000.0,2.0,2.5,1792.0,,"1020 Prospect St Unit 205, La Jolla, CA 92037",32.8479845,-117.2747516
99,99,1025000.0,2.0,1.0,776.0,8000.0,"1805 Frankfort St, San Diego, CA 92110",32.7786235,-117.2028674
100,100,565000.0,3.0,2.0,1407.0,3240.0,"1162 Camino Donaire, San Diego, CA 92154",32.5757025,-117.067341
101,101,2500000.0,5.0,2.5,3587.0,0.23,"723 Gage Dr, San Diego, CA 92106",32.7168319,-117.2415005
102,102,772500.0,2.0,2.5,1148.0,4.31,"10368 Wateridge Cir Unit 329, San Diego, CA 92121",32.8979406,-117.2062529
103,103,1169000.0,,,1256.0,6082.0,"3211 Felton St, San Diego, CA 92104",32.7385209,-117.1219023
104,104,2395000.0,8.0,5.0,4058.0,5200.0,"136 W Fir St, San Diego, CA 92101",32.725237,-117.1645559
105,105,420000.0,1.0,1.0,772.0,2.12,"9729 Mesa Springs Way Unit 192, San Diego, CA 92126",32.9014104,-117.1175014
106,106,950000.0,2.0,1.0,1150.0,3964.0,"2630 K St, San Diego, CA 92102",32.7087305,-117.1374361
107,107,779000.0,2.0,2.0,938.0,,"300 W Beech St Unit 1701, San Diego, CA 92101",32.7211001,-117.1659385
108,108,429900.0,1.0,1.0,863.0,,"1080 Park Blvd Unit 318, San Diego, CA 92101",32.7163881,-117.1541243
109,109,625000.0,2.0,2.0,1160.0,2.69,"2614 Torrey Pines Rd Unit D16, La Jolla, CA 92037",32.852002,-117.2474227
110,110,455000.0,3.0,2.0,1024.0,4.76,"6333 College Grove Way Unit 12201, San Diego, CA 92115",32.7366697,-117.0577326
111,111,1500000.0,4.0,2.5,1765.0,1.29,"7215 Rock Canyon Dr, San Diego, CA 92126",32.9209438,-117.1641809
112,112,625000.0,3.0,2.0,1128.0,5149.0,"4981 70th St, San Diego, CA 92115",32.7693681,-117.0468825
113,113,745000.0,4.0,2.0,1630.0,8400.0,"5157 Logan Ave, San Diego, CA 92114",32.6964626,-117.0831087
114,114,789000.0,5.0,2.0,1971.0,9800.0,"1492 Ilexey Ave, San Diego, CA 92154",32.5707639,-117.0447906
115,115,629000.0,2.0,2.0,898.0,1.22,"8320 Regents Rd Unit 2P, San Diego, CA 92122",32.866563,-117.220961
116,116,510000.0,3.0,2.0,1193.0,2.46,"3980 Faircross Pl Unit 11, San Diego, CA 92115",32.7473234,-117.0699247
117,117,775000.0,3.0,2.0,1416.0,7200.0,"8679 Tommy Dr, San Diego, CA 92119",32.8041459,-117.0098223
118,118,650000.0,3.0,2.0,1282.0,7012.0,"1035 Firethorn St, San Diego, CA 92154",32.5777252,-117.0400779
119,119,1374900.0,4.0,4.0,2513.0,,"15711 Wainwright Way, San Diego, CA 92127",32.9883677,-117.107778
120,120,775000.0,1.0,2.0,1055.0,,"1501 India St Unit 605, San Diego, CA 92101",32.7212527,-117.1678335
121,121,410000.0,1.0,1.0,724.0,,"5980 Dandridge Ln Unit 215, San Diego, CA 92115",32.74893,-117.0672034
122,122,2459000.0,5.0,4.5,3736.0,8100.0,"5473 Valerio Trl, San Diego, CA 92130",32.9625208,-117.2028903
123,123,1037000.0,4.0,2.0,1789.0,9600.0,"7705 Volclay Dr, San Diego, CA 92119",32.814755,-117.0446297
124,124,375000.0,1.0,1.0,724.0,3.19,"7838 Cowles Mountain Ct Unit C28, San Diego, CA 92119",32.8013516,-117.0267095
125,125,1650000.0,4.0,4.0,2733.0,5394.0,"16917 Silver Pine Rd, San Diego, CA 92127",33.0233662,-117.1170765
126,126,1379900.0,4.0,4.0,2547.0,,"15711 Wainwright Way, San Diego, CA 92127",32.9883677,-117.107778
127,127,1364900.0,4.0,3.5,2323.0,,"15711 Wainwright Way, San Diego, CA 92127",32.9883677,-117.107778
128,128,1324900.0,4.0,3.5,2289.0,,"15711 Wainwright Way, San Diego, CA 92127",32.9883677,-117.107778
129,129,1175000.0,4.0,2.5,1843.0,5001.0,"13828 Via Boltana, San Diego, CA 92129",32.9657446,-117.116525
130,130,900000.0,4.0,3.0,2200.0,,"625-629 Sampson St, San Diego, CA 92113",32.6998114,-117.1371604
131,131,1429000.0,2.0,2.0,1577.0,7200.0,"2879 Ivy St, San Diego, CA 92104",32.7283652,-117.1321971
132,132,2300000.0,3.0,1.0,1380.0,,"735 Nautilus St, La Jolla, CA 92037",32.8323944,-117.2733294
133,133,125000.0,2.0,1.0,1200.0,1200.0,"2950 Iris Ave, San Diego, CA 92154",32.5692475,-117.0702818
